editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.21-1
eglexternalplatform 1.2.1-1
electron37 37.5.1-1
electron39 39.5.2-1
enchant 2.8.15-2
epiphany 49.6-1
espeak-ng 1.52.0-1
evince 1:48.1-1
evolution-data-server 3.58.3-1
ex-vi-compat 2-1
exempi 2.6.6-3
exiv2 0.28.8-1
expat 2.7.5-1
faac 1.40-1
faad2 2.11.2-1
fakeroot 1.37.2-1
ffmpeg 2:8.1-2
ffmpeg4.4 4.4.6-4
fftw 3.3.10-8
file 5.47-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 148.0.2-1
flac 1.5.0-1
flatpak 1:1.16.3-1
flex 2.6.4-5
fluidsynth 2.5.3-1
fmt 12.1.0-2
folks 0.15.9-2
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freerdp 2:3.24.1-1
freetype2 2.14.2-1
fribidi 1.0.16-2
ftgl 2.4.0-3
fuse-common 3.18.2-1
fuse3 3.18.2-1
fzf 0.70.0-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdbm 1.26-2
gdk-pixbuf2 2.44.4-1
gdm 49.2-1
gegl 0.4.68-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-5
geocode-glib-common 3.26.4-5
geoip 1.6.12-3
geoip-database 20260204-1
geoip-database-extra 20260204-1
gettext 1.0-2
gexiv2 0.16.0-2
ghostscript 10.07.0-1
giflib 5.2.2-2
gimp 3.2.0-1
git 2.53.0-1
gjs 2:1.86.0-2
glew 2.3.1-1
glib-networking 1:2.80.1-1
glib2 2.86.4-1
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.3-1
glslang 1:1.4.341.0-2
glu 9.0.3-3
glycin 2.0.8-1
gmp 6.3.0-3
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 49.0-1
gnome-bluetooth-3.0 47.1-2
gnome-calculator 49.2-1
gnome-calendar 49.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.2-1
gnome-contacts 49.0-1
gnome-control-center 49.6-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-font-viewer 49.0-1
gnome-keybindings 49.6-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.5-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-online-accounts 3.56.5-1
gnome-remote-desktop 49.3-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.5-1
gnome-software 49.3-1
gnome-system-monitor 49.1-1
gnome-text-editor 49.1-1
gnome-tour 49.0-1
gnome-tweaks 49.0-2
gnome-user-docs 49.4-1
gnome-user-share 48.2-1
gnome-weather 49.0-1
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.1-1
